"genero","especie","nombre_comun","categoria"
"Patagioenas","picazuro","Picazuro-Pigeon","LC"
"Patagioenas","speciosa","Scaled-Pigeon","LC"
"Zenaida","auriculata","Eared-Dove","LC"
"Columbina","minuta","Plain-breasted-Ground-dove","LC"
"Columbina","picui","Picui-Ground-dove","LC"
"Columbina","talpacoti","Ruddy-Ground-dove","LC"
"Claravis","pretiosa","Blue-Ground-dove","LC"
"Metriopelia","aymara","Golden-spotted-Ground-dove","LC"
"Metriopelia","ceciliae","Bare-faced-Ground-dove","LC"
"Metriopelia","melanoptera","Black-winged-Ground-dove","LC"
"Metriopelia","morenoi","Bare-eyed-Ground-dove","LC"
"Columbina","squammata","Scaled-Dove","LC"
"Leptotila","megalura","White-faced-Dove","LC"
"Leptotila","rufaxilla","Grey-fronted-Dove","LC"
"Leptotila","verreauxi","White-tipped-Dove","LC"
"Geotrygon","frenata","White-throated-Quail-dove","LC"
"Geotrygon","montana","Ruddy-Quail-dove","LC"
"Geotrygon","violacea","Violaceous-Quail-dove","LC"
"Primolius","auricollis","Yellow-collared-Macaw","LC"
"Ara","chloropterus","Red-and-green-Macaw","LC"
"Aratinga","acuticaudata","Blue-crowned-Parakeet","LC"
"Aratinga","aurea","Peach-fronted-Parakeet","LC"
"Aratinga","leucophthalma","White-eyed-Parakeet","LC"
"Aratinga","mitrata","Mitred-Parakeet","LC"
"Nandayus","nenday","Nanday-Parakeet","LC"
"Cyanoliseus","patagonus","Burrowing-Parakeet","LC"
"Pyrrhura","frontalis","Maroon-bellied-Parakeet","LC"
"Pyrrhura","molinae","Green-cheeked-Parakeet","LC"
"Enicognathus","ferrugineus","Austral-Parakeet","LC"
"Myiopsitta","monachus","Monk-Parakeet","LC"
"Psilopsiagon","aurifrons","Mountain-Parakeet","LC"
"Psilopsiagon","aymara","Grey-hooded-Parakeet","LC"
"Forpus","xanthopterygius","Blue-winged-Parrotlet","LC"
"Brotogeris","chiriri","Yellow-chevroned-Parakeet","LC"
"Pionus","maximiliani","Scaly-headed-Parrot","LC"
"Amazona","aestiva","Turquoise-fronted-Amazon","LC"
"Amazona","tucumana","Tucuman-Amazon","VU"
"Coccyzus","americanus","Yellow-billed-Cuckoo","LC"
"Coccycua","cinerea","Ash-coloured-Cuckoo","LC"
"Coccyzus","erythropthalmus","Black-billed-Cuckoo","LC"
"Coccyzus","euleri","Pearly-breasted-Cuckoo","LC"
"Coccyzus","melacoryphus","Dark-billed-Cuckoo","LC"
"Piaya","cayana","Squirrel-Cuckoo","LC"
"Crotophaga","ani","Smooth-billed-Ani","LC"
"Crotophaga","major","Greater-Ani","LC"
"Crotophaga","sulcirostris","Groove-billed-Ani","LC"
"Guira","guira","Guira-Cuckoo","LC"
